po_id,item_description,vendor,region,department,po_date,quantity,unit_price,po_value
HPCL_PO_108398,"Supply of SS Valve 2""",VENDOR_D,SR,PIPELINE,2021-06-14,68,259.91,17673.88
HPCL_PO_102631,Supply of Carbon Steel Pipe of 100 mm diameter,VENDOR_B,WR,LPG,2022-04-11,150,101.2,15180.0
HPCL_PO_103131,4 inch MS flange,VENDOR_D,SR,LPG,2024-05-14,50,254.61,12730.5
HPCL_PO_109583,100mm carbon steel pipe,VENDOR_C,SR,REFINERY,2021-09-01,11,100.34,1103.74
HPCL_PO_108218,CS Pipe of 200mm size,VENDOR_A,WR,PIPELINE,2024-08-14,29,168.66,4891.14
HPCL_PO_109276,100mm carbon steel pipe,VENDOR_C,ER,PIPELINE,2021-12-23,138,100.68,13893.84
HPCL_PO_103813,Supply of CS Pipe 200mm,VENDOR_D,WR,LPG,2022-01-22,51,173.03,8824.53
HPCL_PO_105886,Supply of CS Pipe 200mm,VENDOR_A,ER,MARKETING,2022-02-01,27,189.4,5113.8
HPCL_PO_105082,CS pipe dia 100 mm,VENDOR_D,NR,REFINERY,2024-08-29,33,106.84,3525.72
HPCL_PO_111815,"Supply of SS Valve 2""",VENDOR_D,SR,PIPELINE,2020-07-21,25,243.56,6089.0
HPCL_PO_108823,"Supply of SS Valve 2""",VENDOR_B,NR,PIPELINE,2024-09-18,77,265.24,20423.48
HPCL_PO_101217,Stainless steel valve 2 inch,VENDOR_D,NR,PIPELINE,2021-02-18,147,263.06,38669.82
HPCL_PO_103991,Supply of CS Pipe 200mm,VENDOR_D,WR,REFINERY,2024-04-05,84,191.52,16087.68
HPCL_PO_111147,"Supply of MS flange 4""",VENDOR_A,SR,REFINERY,2019-07-14,180,156.51,28171.8
HPCL_PO_107615,Mild steel flange of 4in size,VENDOR_C,ER,PIPELINE,2021-05-11,6,135.83,814.98
HPCL_PO_110691,"Supply of MS flange 4""",VENDOR_C,NR,REFINERY,2020-02-14,127,136.48,17332.96
HPCL_PO_110184,100mm carbon steel pipe,VENDOR_D,ER,PIPELINE,2019-05-17,78,95.53,7451.34
HPCL_PO_101683,4 inch MS flange,VENDOR_A,WR,MARKETING,2021-02-06,32,149.31,4777.92
HPCL_PO_104574,CS pipe dia 100 mm,VENDOR_A,SR,PIPELINE,2020-05-19,57,101.54,5787.78
HPCL_PO_111540,Mild steel flange of 4in size,VENDOR_B,NR,MARKETING,2019-08-12,72,132.74,9557.28
HPCL_PO_110750,Mild steel flange of 4in size,VENDOR_C,NR,MARKETING,2019-01-23,170,135.91,23104.7
HPCL_PO_111283,Supply of Carbon Steel Pipe of 100 mm diameter,VENDOR_B,WR,MARKETING,2022-12-05,45,101.9,4585.5
HPCL_PO_107562,CS Pipe of 200mm size,VENDOR_D,SR,PIPELINE,2019-11-17,117,196.96,23044.32
HPCL_PO_105903,MS Flange 4 inch,VENDOR_B,WR,MARKETING,2019-11-20,165,129.87,21428.55
HPCL_PO_102582,Stainless steel valve 2 inch,VENDOR_D,SR,REFINERY,2021-02-11,111,248.86,27623.46
HPCL_PO_103002,4 inch MS flange,VENDOR_A,WR,PIPELINE,2023-03-13,124,134.79,16713.96
HPCL_PO_110043,SS valve size 2 inch,VENDOR_C,ER,REFINERY,2024-01-30,45,273.49,12307.05
HPCL_PO_102087,CS Pipe 100 mm size,VENDOR_A,SR,LPG,2022-09-27,105,109.29,11475.45
HPCL_PO_108928,"Supply of SS Valve 2""",VENDOR_B,NR,LPG,2023-02-27,115,276.71,31821.65
HPCL_PO_104148,Supply of Carbon Steel Pipe of 100 mm diameter,VENDOR_B,ER,PIPELINE,2023-06-04,140,105.59,14782.6
HPCL_PO_100135,200 mm dia carbon steel pipe,VENDOR_B,SR,PIPELINE,2022-03-31,88,169.92,14952.96
HPCL_PO_109917,CS pipe dia 100 mm,VENDOR_B,ER,LPG,2022-10-25,119,102.74,12226.06
HPCL_PO_101743,Supply of CS Pipe 200mm,VENDOR_B,WR,REFINERY,2021-05-18,64,188.82,12084.48
HPCL_PO_107341,CS Pipe 100 mm size,VENDOR_B,ER,MARKETING,2023-12-08,31,111.41,3453.71
HPCL_PO_110874,200 mm dia carbon steel pipe,VENDOR_C,SR,MARKETING,2021-06-07,54,180.09,9724.86
HPCL_PO_103707,2in SS control valve,VENDOR_D,SR,REFINERY,2020-12-29,36,271.53,9775.08
HPCL_PO_105470,200 mm dia carbon steel pipe,VENDOR_B,NR,MARKETING,2022-08-26,72,188.51,13572.72
HPCL_PO_100700,Carbon steel pipeline 100mm,VENDOR_C,NR,MARKETING,2021-01-20,200,93.89,18778.0
HPCL_PO_108557,Carbon Steel Pipe 200 mm,VENDOR_D,NR,MARKETING,2022-10-20,5,170.74,853.7
HPCL_PO_111715,Supply of CS Pipe 200mm,VENDOR_A,NR,PIPELINE,2019-12-01,54,329.23,17778.42
HPCL_PO_101608,"Supply of MS flange 4""",VENDOR_A,ER,PIPELINE,2024-09-30,146,142.16,20755.36
HPCL_PO_105863,"Supply of MS flange 4""",VENDOR_C,ER,LPG,2022-01-19,167,134.94,22534.98
HPCL_PO_100429,Carbon Steel Pipe 200 mm,VENDOR_B,WR,LPG,2020-01-12,94,173.56,16314.64
HPCL_PO_104023,200 mm dia carbon steel pipe,VENDOR_B,WR,LPG,2021-10-17,18,171.87,3093.66
HPCL_PO_106688,CS Pipe of 200mm size,VENDOR_A,WR,REFINERY,2021-06-27,136,171.41,23311.76
HPCL_PO_104100,2in SS control valve,VENDOR_B,ER,MARKETING,2023-09-14,172,272.18,46814.96
HPCL_PO_108875,Mild steel flange of 4in size,VENDOR_A,SR,MARKETING,2024-11-19,92,129.77,11938.84
HPCL_PO_108514,Stainless steel valve 2 inch,VENDOR_B,NR,LPG,2024-09-03,129,275.48,35536.92
HPCL_PO_109649,SS valve size 2 inch,VENDOR_A,WR,MARKETING,2024-04-01,118,276.89,32673.02
HPCL_PO_102270,CS Pipe of 200mm size,VENDOR_A,ER,LPG,2023-07-31,11,167.54,1842.94
HPCL_PO_107692,"Supply of SS Valve 2""",VENDOR_C,NR,LPG,2020-06-01,115,268.26,30849.9
HPCL_PO_100070,Supply of Carbon Steel Pipe of 100 mm diameter,VENDOR_C,SR,LPG,2021-09-23,83,105.28,8738.24
HPCL_PO_105720,Mild steel flange of 4in size,VENDOR_D,ER,REFINERY,2021-01-18,48,151.3,7262.4
HPCL_PO_110747,"Supply of SS Valve 2""",VENDOR_C,WR,MARKETING,2021-10-17,122,268.65,32775.3
HPCL_PO_110152,200 mm dia carbon steel pipe,VENDOR_B,WR,MARKETING,2024-07-06,111,177.17,19665.87
HPCL_PO_111957,4 inch MS flange,VENDOR_D,ER,PIPELINE,2019-02-16,28,141.81,3970.68
HPCL_PO_109137,"Supply of MS flange 4""",VENDOR_D,ER,MARKETING,2021-12-25,158,148.8,23510.4
HPCL_PO_102019,SS valve size 2 inch,VENDOR_D,SR,PIPELINE,2022-08-06,73,263.68,19248.64
HPCL_PO_109836,SS valve size 2 inch,VENDOR_B,ER,MARKETING,2024-04-14,169,268.7,45410.3
HPCL_PO_111351,SS valve size 2 inch,VENDOR_B,WR,PIPELINE,2019-04-30,142,265.19,37656.98
HPCL_PO_106702,Mild steel flange of 4in size,VENDOR_B,SR,PIPELINE,2022-09-16,56,155.3,8696.8
HPCL_PO_104029,"Supply of MS flange 4""",VENDOR_C,ER,PIPELINE,2024-07-15,7,150.85,1055.95
HPCL_PO_107759,"Supply of SS Valve 2""",VENDOR_D,WR,PIPELINE,2021-02-21,93,460.39,42816.27
HPCL_PO_111690,CS Pipe of 200mm size,VENDOR_B,SR,LPG,2019-06-19,58,198.66,11522.28
HPCL_PO_108483,Carbon Steel Pipe 200 mm,VENDOR_C,NR,MARKETING,2022-12-31,77,194.25,14957.25
HPCL_PO_103858,MS Flange 4 inch,VENDOR_C,SR,REFINERY,2024-08-10,176,149.45,26303.2
HPCL_PO_100744,100mm carbon steel pipe,VENDOR_C,WR,REFINERY,2021-09-02,158,94.45,14923.1
HPCL_PO_101383,CS Pipe of 200mm size,VENDOR_D,ER,REFINERY,2024-05-23,128,196.48,25149.44
HPCL_PO_105643,"Supply of SS Valve 2""",VENDOR_C,NR,REFINERY,2022-07-10,74,241.04,17836.96
HPCL_PO_108685,"Supply of SS Valve 2""",VENDOR_C,WR,PIPELINE,2021-03-17,193,261.0,50373.0
HPCL_PO_110613,100mm carbon steel pipe,VENDOR_B,WR,PIPELINE,2024-02-14,166,93.71,15555.86
HPCL_PO_100149,200 mm dia carbon steel pipe,VENDOR_A,SR,PIPELINE,2022-06-24,172,190.75,32809.0
HPCL_PO_111879,Supply of CS Pipe 200mm,VENDOR_C,WR,REFINERY,2023-07-05,42,282.78,11876.76
HPCL_PO_100811,Stainless steel valve 2 inch,VENDOR_A,ER,LPG,2020-05-31,138,279.6,38584.8
HPCL_PO_105900,Stainless steel valve 2 inch,VENDOR_C,SR,MARKETING,2020-10-20,108,266.99,28834.92
HPCL_PO_104328,Carbon steel pipeline 100mm,VENDOR_B,ER,PIPELINE,2023-07-25,107,106.05,11347.35
HPCL_PO_106373,Supply of CS Pipe 200mm,VENDOR_C,SR,REFINERY,2024-07-17,88,170.33,14989.04
HPCL_PO_103995,MS Flange 4 inch,VENDOR_D,ER,REFINERY,2020-12-03,27,130.39,3520.53
HPCL_PO_104382,"Supply of SS Valve 2""",VENDOR_D,ER,REFINERY,2020-04-18,17,234.17,3980.89
HPCL_PO_101730,100mm carbon steel pipe,VENDOR_B,NR,MARKETING,2023-03-26,90,101.45,9130.5
HPCL_PO_104359,Stainless steel valve 2 inch,VENDOR_B,SR,LPG,2020-07-07,142,232.92,33074.64
HPCL_PO_105027,CS Pipe of 200mm size,VENDOR_B,SR,MARKETING,2024-12-11,62,172.68,10706.16
HPCL_PO_101793,SS valve size 2 inch,VENDOR_C,WR,MARKETING,2022-11-07,104,238.38,24791.52
HPCL_PO_109079,"Supply of MS flange 4""",VENDOR_C,ER,LPG,2024-03-22,78,151.59,11824.02
HPCL_PO_105466,MS Flange 4 inch,VENDOR_A,NR,PIPELINE,2022-06-02,25,131.08,3277.0
HPCL_PO_111127,SS valve size 2 inch,VENDOR_B,ER,PIPELINE,2024-03-01,57,257.8,14694.6
HPCL_PO_108486,200 mm dia carbon steel pipe,VENDOR_A,SR,LPG,2024-05-07,41,182.66,7489.06
HPCL_PO_101121,100mm carbon steel pipe,VENDOR_A,ER,MARKETING,2023-07-16,105,99.86,10485.3
HPCL_PO_104618,Supply of Carbon Steel Pipe of 100 mm diameter,VENDOR_D,ER,MARKETING,2020-08-27,122,111.88,13649.36
HPCL_PO_105937,100mm carbon steel pipe,VENDOR_A,WR,MARKETING,2021-02-10,180,105.24,18943.2
HPCL_PO_109527,Mild steel flange of 4in size,VENDOR_D,ER,LPG,2022-07-19,98,151.84,14880.32
HPCL_PO_102034,Supply of Carbon Steel Pipe of 100 mm diameter,VENDOR_A,WR,PIPELINE,2020-11-15,41,110.64,4536.24
HPCL_PO_103126,4 inch MS flange,VENDOR_D,WR,LPG,2019-11-13,83,134.12,11131.96
HPCL_PO_111064,Carbon Steel Pipe 200 mm,VENDOR_D,SR,LPG,2024-06-26,120,173.66,20839.2
HPCL_PO_111822,CS Pipe of 200mm size,VENDOR_D,SR,PIPELINE,2021-03-13,72,195.45,14072.4
HPCL_PO_103827,"Supply of SS Valve 2""",VENDOR_C,ER,PIPELINE,2019-01-21,155,246.94,38275.7
HPCL_PO_104367,Supply of Carbon Steel Pipe of 100 mm diameter,VENDOR_D,ER,MARKETING,2023-09-28,140,99.91,13987.4
HPCL_PO_105297,Carbon steel pipeline 100mm,VENDOR_C,SR,MARKETING,2024-01-29,179,92.4,16539.6
HPCL_PO_103210,CS Pipe 100 mm size,VENDOR_C,ER,LPG,2024-04-02,63,106.43,6705.09
HPCL_PO_109928,"Supply of SS Valve 2""",VENDOR_B,ER,PIPELINE,2022-02-15,31,237.44,7360.64
HPCL_PO_102698,"Supply of SS Valve 2""",VENDOR_A,WR,REFINERY,2019-09-03,44,236.6,10410.4
HPCL_PO_108045,CS pipe dia 100 mm,VENDOR_C,ER,REFINERY,2022-03-22,80,108.34,8667.2
HPCL_PO_104279,Carbon steel pipeline 100mm,VENDOR_A,NR,REFINERY,2023-09-19,129,103.89,13401.81
HPCL_PO_100373,Mild steel flange of 4in size,VENDOR_D,ER,PIPELINE,2020-10-31,71,149.77,10633.67
HPCL_PO_100624,Carbon steel pipeline 100mm,VENDOR_A,SR,MARKETING,2024-07-24,197,111.87,22038.39
HPCL_PO_111617,4 inch MS flange,VENDOR_A,SR,PIPELINE,2023-03-28,52,131.88,6857.76
HPCL_PO_106096,CS Pipe 100 mm size,VENDOR_D,NR,REFINERY,2023-06-19,146,102.47,14960.62
HPCL_PO_104983,Supply of Carbon Steel Pipe of 100 mm diameter,VENDOR_D,WR,LPG,2022-04-21,54,99.58,5377.32
HPCL_PO_103488,Mild steel flange of 4in size,VENDOR_A,WR,MARKETING,2021-06-24,34,150.94,5131.96
HPCL_PO_111979,"Supply of SS Valve 2""",VENDOR_C,SR,LPG,2024-04-12,171,253.56,43358.76
HPCL_PO_102036,Supply of CS Pipe 200mm,VENDOR_D,ER,PIPELINE,2024-08-02,17,169.65,2884.05
HPCL_PO_108388,100mm carbon steel pipe,VENDOR_A,NR,PIPELINE,2019-11-03,123,108.82,13384.86
HPCL_PO_100747,"Supply of MS flange 4""",VENDOR_B,ER,MARKETING,2023-01-26,126,148.84,18753.84
HPCL_PO_109037,"Supply of SS Valve 2""",VENDOR_A,NR,MARKETING,2023-08-10,68,238.52,16219.36
HPCL_PO_109145,CS Pipe of 200mm size,VENDOR_C,NR,REFINERY,2022-12-14,143,189.19,27054.17
HPCL_PO_104447,"Supply of SS Valve 2""",VENDOR_C,SR,LPG,2019-10-15,100,251.31,25131.0
HPCL_PO_111019,200 mm dia carbon steel pipe,VENDOR_D,SR,LPG,2024-05-01,28,174.77,4893.56
HPCL_PO_106743,CS pipe dia 100 mm,VENDOR_B,ER,LPG,2020-07-17,130,105.5,13715.0
HPCL_PO_107502,4 inch MS flange,VENDOR_D,NR,LPG,2023-10-04,43,130.69,5619.67
HPCL_PO_103100,Mild steel flange of 4in size,VENDOR_B,ER,PIPELINE,2020-09-21,13,134.98,1754.74
HPCL_PO_103299,"Supply of SS Valve 2""",VENDOR_C,ER,MARKETING,2022-11-20,43,249.18,10714.74
HPCL_PO_106245,SS valve size 2 inch,VENDOR_B,SR,REFINERY,2023-10-05,103,232.9,23988.7
HPCL_PO_108292,CS Pipe of 200mm size,VENDOR_D,ER,REFINERY,2020-02-27,168,171.73,28850.64
HPCL_PO_107566,2in SS control valve,VENDOR_A,SR,PIPELINE,2024-02-02,169,256.76,43392.44
HPCL_PO_103431,4 inch MS flange,VENDOR_A,WR,MARKETING,2022-10-04,27,140.92,3804.84
HPCL_PO_107118,MS Flange 4 inch,VENDOR_D,ER,PIPELINE,2020-02-15,195,151.2,29484.0
HPCL_PO_106805,Mild steel flange of 4in size,VENDOR_C,ER,MARKETING,2021-12-19,13,139.05,1807.65
HPCL_PO_101261,2in SS control valve,VENDOR_A,NR,LPG,2024-02-05,130,238.69,31029.7
HPCL_PO_100647,CS Pipe 100 mm size,VENDOR_B,NR,MARKETING,2019-07-24,83,108.41,8998.03
HPCL_PO_100019,Carbon steel pipeline 100mm,VENDOR_A,SR,PIPELINE,2024-06-11,59,102.78,6064.02
HPCL_PO_105608,SS valve size 2 inch,VENDOR_C,NR,REFINERY,2024-09-23,114,251.68,28691.52
HPCL_PO_102145,Carbon Steel Pipe 200 mm,VENDOR_B,ER,MARKETING,2024-03-03,193,187.2,36129.6
HPCL_PO_106920,"Supply of SS Valve 2""",VENDOR_D,ER,LPG,2020-07-31,13,248.59,3231.67
HPCL_PO_105922,4 inch MS flange,VENDOR_C,WR,REFINERY,2024-10-21,192,154.55,29673.6
HPCL_PO_109411,"Supply of MS flange 4""",VENDOR_A,NR,REFINERY,2022-07-18,164,135.81,22272.84
HPCL_PO_102791,CS pipe dia 100 mm,VENDOR_D,SR,PIPELINE,2022-05-29,69,110.79,7644.51
HPCL_PO_104954,Supply of CS Pipe 200mm,VENDOR_B,WR,PIPELINE,2022-08-19,94,187.52,17626.88
HPCL_PO_106727,CS Pipe of 200mm size,VENDOR_D,WR,REFINERY,2023-12-09,126,167.0,21042.0
HPCL_PO_101905,CS pipe dia 100 mm,VENDOR_B,SR,PIPELINE,2021-11-23,108,109.52,11828.16
HPCL_PO_102021,100mm carbon steel pipe,VENDOR_D,ER,MARKETING,2021-04-03,148,98.78,14619.44
HPCL_PO_105357,"Supply of SS Valve 2""",VENDOR_D,NR,PIPELINE,2020-11-09,113,243.12,27472.56
HPCL_PO_103501,Mild steel flange of 4in size,VENDOR_D,WR,REFINERY,2021-02-15,83,145.51,12077.33
HPCL_PO_101369,Carbon Steel Pipe 200 mm,VENDOR_C,WR,PIPELINE,2024-09-14,33,297.43,9815.19
HPCL_PO_104767,4 inch MS flange,VENDOR_A,NR,REFINERY,2022-11-30,52,143.64,7469.28
HPCL_PO_101368,CS Pipe 100 mm size,VENDOR_B,NR,LPG,2023-01-07,196,111.91,21934.36
HPCL_PO_109373,"Supply of MS flange 4""",VENDOR_B,WR,LPG,2023-10-09,9,147.86,1330.74
HPCL_PO_109784,CS pipe dia 100 mm,VENDOR_A,SR,PIPELINE,2022-09-03,99,99.05,9805.95
HPCL_PO_101941,Supply of Carbon Steel Pipe of 100 mm diameter,VENDOR_B,ER,REFINERY,2024-01-05,143,98.48,14082.64
HPCL_PO_107588,SS valve size 2 inch,VENDOR_B,SR,REFINERY,2023-02-09,200,249.56,49912.0
HPCL_PO_101978,MS Flange 4 inch,VENDOR_D,SR,MARKETING,2024-03-14,157,144.22,22642.54
HPCL_PO_108726,Mild steel flange of 4in size,VENDOR_C,SR,REFINERY,2023-10-16,73,129.6,9460.8
HPCL_PO_105364,200 mm dia carbon steel pipe,VENDOR_C,NR,LPG,2022-11-24,62,199.58,12373.96
HPCL_PO_103366,200 mm dia carbon steel pipe,VENDOR_B,NR,REFINERY,2020-09-09,11,193.44,2127.84
HPCL_PO_106618,CS Pipe 100 mm size,VENDOR_D,ER,REFINERY,2023-08-20,156,98.65,15389.4
HPCL_PO_107113,4 inch MS flange,VENDOR_A,ER,LPG,2023-12-14,98,147.19,14424.62
HPCL_PO_105046,SS valve size 2 inch,VENDOR_D,ER,LPG,2022-02-27,117,257.45,30121.65
HPCL_PO_103889,"Supply of MS flange 4""",VENDOR_B,SR,REFINERY,2020-06-23,159,153.02,24330.18
HPCL_PO_103372,100mm carbon steel pipe,VENDOR_D,ER,REFINERY,2022-08-08,12,94.24,1130.88
HPCL_PO_104553,2in SS control valve,VENDOR_A,ER,REFINERY,2023-05-23,117,274.95,32169.15
HPCL_PO_111192,Stainless steel valve 2 inch,VENDOR_A,SR,MARKETING,2023-11-15,29,270.42,7842.18
HPCL_PO_103045,CS Pipe of 200mm size,VENDOR_B,NR,PIPELINE,2023-02-14,136,199.85,27179.6
HPCL_PO_104810,"Supply of SS Valve 2""",VENDOR_A,ER,PIPELINE,2021-06-25,92,254.09,23376.28
HPCL_PO_102333,CS pipe dia 100 mm,VENDOR_B,NR,PIPELINE,2020-10-07,162,109.66,17764.92
HPCL_PO_100839,SS valve size 2 inch,VENDOR_C,NR,MARKETING,2024-12-27,149,233.5,34791.5
HPCL_PO_105262,Stainless steel valve 2 inch,VENDOR_B,SR,LPG,2024-09-25,60,249.62,14977.2
HPCL_PO_108516,2in SS control valve,VENDOR_D,SR,REFINERY,2022-09-21,99,235.03,23267.97
HPCL_PO_110904,SS valve size 2 inch,VENDOR_C,ER,MARKETING,2019-11-18,8,249.75,1998.0
HPCL_PO_101434,"Supply of MS flange 4""",VENDOR_A,NR,PIPELINE,2021-10-05,98,132.76,13010.48
HPCL_PO_103857,"Supply of MS flange 4""",VENDOR_C,WR,LPG,2023-04-26,107,152.92,16362.44
HPCL_PO_104601,CS pipe dia 100 mm,VENDOR_C,WR,PIPELINE,2019-02-25,200,94.3,18860.0
HPCL_PO_102673,MS Flange 4 inch,VENDOR_C,ER,MARKETING,2024-10-30,160,151.23,24196.8
HPCL_PO_105180,2in SS control valve,VENDOR_B,NR,LPG,2021-10-29,138,252.94,34905.72
HPCL_PO_100487,4 inch MS flange,VENDOR_A,NR,MARKETING,2023-04-04,153,131.62,20137.86
HPCL_PO_105517,CS Pipe 100 mm size,VENDOR_C,WR,PIPELINE,2022-02-01,79,93.57,7392.03
HPCL_PO_100533,Carbon steel pipeline 100mm,VENDOR_A,SR,PIPELINE,2019-01-27,81,111.69,9046.89
HPCL_PO_107602,Supply of CS Pipe 200mm,VENDOR_A,NR,PIPELINE,2020-03-30,13,171.84,2233.92
HPCL_PO_107606,Mild steel flange of 4in size,VENDOR_B,NR,REFINERY,2019-11-05,14,154.38,2161.32
HPCL_PO_106081,Mild steel flange of 4in size,VENDOR_C,ER,REFINERY,2020-04-17,41,131.34,5384.94
HPCL_PO_102960,4 inch MS flange,VENDOR_A,NR,PIPELINE,2019-12-08,167,142.87,23859.29
HPCL_PO_102183,Supply of CS Pipe 200mm,VENDOR_A,NR,MARKETING,2021-09-08,169,184.36,31156.84
HPCL_PO_110964,4 inch MS flange,VENDOR_D,WR,LPG,2022-03-04,55,145.93,8026.15
HPCL_PO_104168,100mm carbon steel pipe,VENDOR_B,NR,MARKETING,2024-07-02,199,103.24,20544.76
HPCL_PO_105719,Stainless steel valve 2 inch,VENDOR_A,SR,PIPELINE,2024-05-16,166,243.64,40444.24
HPCL_PO_111203,CS Pipe of 200mm size,VENDOR_C,SR,MARKETING,2019-01-22,105,182.6,19173.0
HPCL_PO_111555,"Supply of SS Valve 2""",VENDOR_C,WR,REFINERY,2020-08-03,65,256.46,16669.9
HPCL_PO_107091,"Supply of MS flange 4""",VENDOR_B,NR,MARKETING,2024-08-12,105,156.79,16462.95
HPCL_PO_109326,"Supply of MS flange 4""",VENDOR_B,ER,REFINERY,2023-04-30,200,153.38,30676.0
HPCL_PO_106714,4 inch MS flange,VENDOR_C,NR,MARKETING,2021-02-25,29,156.46,4537.34
HPCL_PO_100200,2in SS control valve,VENDOR_D,ER,LPG,2019-03-10,99,246.56,24409.44
HPCL_PO_111772,2in SS control valve,VENDOR_B,NR,REFINERY,2022-02-12,130,347.77,45210.1
HPCL_PO_102210,MS Flange 4 inch,VENDOR_B,SR,LPG,2024-06-14,51,141.59,7221.09
HPCL_PO_108251,CS Pipe of 200mm size,VENDOR_C,WR,REFINERY,2020-10-06,139,181.58,25239.62
HPCL_PO_107838,2in SS control valve,VENDOR_C,WR,REFINERY,2024-01-17,62,245.77,15237.74
HPCL_PO_109119,Carbon Steel Pipe 200 mm,VENDOR_C,ER,LPG,2021-08-28,41,196.28,8047.48
HPCL_PO_108761,Supply of CS Pipe 200mm,VENDOR_D,SR,REFINERY,2023-07-16,36,189.82,6833.52
HPCL_PO_109117,CS pipe dia 100 mm,VENDOR_D,NR,PIPELINE,2024-10-25,126,108.68,13693.68
HPCL_PO_111718,CS pipe dia 100 mm,VENDOR_C,NR,LPG,2019-03-30,92,92.11,8474.12
